HKWorkoutActivityTypeSwimming,47.13110953172048,min,2021-04-11 08:47:58 +0800,2021-04-11 08:00:34 +0800,2021-04-11 08:47:57 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.01024079918862,min,2021-04-11 22:19:08 +0800,2021-04-11 21:43:07 +0800,2021-04-11 22:19:08 +0800
HKWorkoutActivityTypeSoccer,90.98815756638845,min,2021-04-12 20:31:54 +0800,2021-04-12 19:00:53 +0800,2021-04-12 20:31:53 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,20.00178121725718,min,2021-04-14 08:55:15 +0800,2021-04-14 08:35:14 +0800,2021-04-14 08:55:14 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,33.87526474992434,min,2021-04-15 09:11:06 +0800,2021-04-15 08:37:13 +0800,2021-04-15 09:11:05 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,39.09804030060768,min,2021-04-17 21:04:36 +0800,2021-04-17 20:25:30 +0800,2021-04-17 21:04:35 +0800
HKWorkoutActivityTypeSwimming,58.10570166707039,min,2021-04-18 08:47:14 +0800,2021-04-18 07:49:06 +0800,2021-04-18 08:47:13 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,30.00424293279648,min,2021-04-20 08:59:28 +0800,2021-04-20 08:29:27 +0800,2021-04-20 08:59:27 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,36.27669224937757,min,2021-04-21 22:51:17 +0800,2021-04-21 22:15:00 +0800,2021-04-21 22:51:16 +0800
HKWorkoutActivityTypeSwimming,52.13454819917679,min,2021-04-24 08:44:46 +0800,2021-04-24 07:52:37 +0800,2021-04-24 08:44:45 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,30.50575643380483,min,2021-04-26 09:17:21 +0800,2021-04-26 08:46:50 +0800,2021-04-26 09:17:20 +0800
HKWorkoutActivityTypeHighIntensityIntervalTraining,25.00702470143636,min,2021-04-28 23:47:14 +0800,2021-04-28 23:22:13 +0800,2021-04-28 23:47:14 +0800
